City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Jerusalem,IL,31.769,35.2163,72.72,60,0,4.61,clear sky
321,Awjilah,LY,29.1081,21.2869,83.3,48,0,9.66,clear sky
322,Kahului,US,20.8947,-156.47,85.96,68,13,8.5,few clouds
323,Shelburne,CA,44.0787,-80.2041,75.96,83,99,4.83,overcast clouds
324,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,94,90,9.22,overcast clouds
325,Stornoway,GB,58.2093,-6.3865,57.92,94,75,13.8,broken clouds
326,Igarka,RU,67.4667,86.5833,57.65,68,2,0.34,clear sky
327,Coolum Beach,AU,-26.5333,153.1,60.12,97,92,1.01,light rain
328,Davila,PH,18.4726,120.5763,78.78,78,100,12.5,overcast clouds
329,Necochea,AR,-38.5473,-58.7368,46.04,72,100,6.04,overcast clouds
330,Sorong,ID,-0.8833,131.25,80.2,78,98,2.84,overcast clouds
331,Bairiki,KI,1.3292,172.9752,87.8,62,20,9.22,few clouds
332,Sitka,US,57.0531,-135.33,60.66,78,100,8.46,overcast clouds
333,Lasa,IT,46.6166,10.7002,58.62,90,29,1.77,scattered clouds
334,Puerto Colombia,CO,10.9878,-74.9547,82.49,81,100,20.07,overcast clouds
335,Kutum,SD,14.2,24.6667,68.65,77,60,10.94,broken clouds
336,Vestmannaeyjar,IS,63.4427,-20.2734,56.16,80,87,7.58,overcast clouds
337,Winnemucca,US,40.973,-117.7357,93.25,10,90,16.11,haze
338,Cabedelo,BR,-6.9811,-34.8339,75.87,85,42,12.03,scattered clouds
339,Mount Isa,AU,-20.7333,139.5,69.57,21,0,9.22,clear sky
340,Lacombe,CA,52.4668,-113.7353,64.94,53,85,7.31,overcast clouds
341,Nemuro,JP,43.3236,145.575,57.63,88,100,25.3,overcast clouds
342,Kalmunai,LK,7.4167,81.8167,77.94,84,97,2.73,overcast clouds
343,San Policarpo,PH,12.1791,125.5072,80.46,80,100,3.85,overcast clouds
344,Odweyne,SO,9.4092,45.064,76.71,46,70,16.35,broken clouds
345,Mecca,SA,21.4267,39.8261,87.91,41,61,7.07,broken clouds
346,Omsukchan,RU,62.5333,155.8,57.7,50,8,7.31,clear sky
